대한유화,,,,NNP,*,F,대한유화,*,*,*,*,*
대한전선,,,,NNP,*,T,대한전선,*,*,*,*,*
대한제강,,,,NNP,*,T,대한제강,*,*,*,*,*
대한제당,,,,NNP,*,T,대한제당,*,*,*,*,*
대한제당우,,,,NNP,*,F,대한제당우,*,*,*,*,*
대한제분,,,,NNP,*,T,대한제분,*,*,*,*,*
대한항공,,,,NNP,*,T,대한항공,*,*,*,*,*
대한항공우,,,,NNP,*,F,대한항공우,*,*,*,*,*
대한해운,,,,NNP,*,T,대한해운,*,*,*,*,*
대한화섬,,,,NNP,*,T,대한화섬,*,*,*,*,*
대현,,,,NNP,*,T,대현,*,*,*,*,*
대호에이엘,,,,NNP,*,T,대호에이엘,*,*,*,*,*
더블유게임즈,,,,NNP,*,F,더블유게임즈,*,*,*,*,*
더존비즈온,,,,NNP,*,T,더존비즈온,*,*,*,*,*
덕성,,,,NNP,*,T,덕성,*,*,*,*,*
덕성우,,,,NNP,*,F,덕성우,*,*,*,*,*
덕양산업,,,,NNP,*,T,덕양산업,*,*,*,*,*
덴티움,,,,NNP,*,T,덴티움,*,*,*,*,*
도화엔지니어링,,,,NNP,*,T,도화엔지니어링,*,*,*,*,*
동국제강,,,,NNP,*,T,동국제강,*,*,*,*,*
동남합성,,,,NNP,*,T,동남합성,*,*,*,*,*
동방,,,,NNP,*,T,동방,*,*,*,*,*
동방아그로,,,,NNP,*,F,동방아그로,*,*,*,*,*
동부건설,,,,NNP,*,T,동부건설,*,*,*,*,*
동부건설우,,,,NNP,*,F,동부건설우,*,*,*,*,*
동서,,,,NNP,*,F,동서,*,*,*,*,*
동성제약,,,,NNP,*,T,동성제약,*,*,*,*,*
동성케미컬,,,,NNP,*,T,동성케미컬,*,*,*,*,*
동아쏘시오홀딩스,,,,NNP,*,F,동아쏘시오홀딩스,*,*,*,*,*
동아에스티,,,,NNP,*,F,동아에스티,*,*,*,*,*
동아지질,,,,NNP,*,T,동아지질,*,*,*,*,*
동아타이어,,,,NNP,*,F,동아타이어,*,*,*,*,*
동양,,,,NNP,*,T,동양,*,*,*,*,*
동양2우B,,,,NNP,*,F,동양2우B,*,*,*,*,*
동양3우B,,,,NNP,*,F,동양3우B,*,*,*,*,*
