종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"001070","대한방직","KOSPI","섬유의복","50300","1200","2.44","266590000000"
"006650","대한유화","KOSPI","화학","172500","2500","1.47","1121250000000"
"001440","대한전선","KOSPI","전기전자","1475","40","2.79","1263297688275"
"084010","대한제강","KOSPI","철강금속","22900","300","1.33","564410208600"
"001790","대한제당","KOSPI","음식료품","2780","5","0.18","249356492400"
"001795","대한제당우","KOSPI","음식료품","2880","30","1.05","18670348800"
"001130","대한제분","KOSPI","음식료품","168500","4500","2.74","284765000000"
"003490","대한항공","KOSPI","운수창고업","29600","-150","-0.50","10295496420000"
"003495","대한항공우","KOSPI","운수창고업","36700","100","0.27","40766139800"
"005880","대한해운","KOSPI","운수창고업","2695","0","0.00","860183254700"
"003830","대한화섬","KOSPI","화학","127500","3500","2.82","169320000000"
"016090","대현","KOSPI","섬유의복","2525","-20","-0.79","111812832750"
"069460","대호에이엘","KOSPI","철강금속","3365","-25","-0.74","174991841435"
"192080","더블유게임즈","KOSPI","서비스업","49600","100","0.20","911375299200"
"012510","더존비즈온","KOSPI","서비스업","50700","-300","-0.59","1540407148800"
"004830","덕성","KOSPI","화학","15250","100","0.66","239120000000"
"004835","덕성우","KOSPI","화학","19850","850","4.47","27631200000"
"024900","덕양산업","KOSPI","운수장비","3500","10","0.29","113977430000"
"145720","덴티움","KOSPI","의료정밀","56500","900","1.62","625388895000"
"002150","도화엔지니어링","KOSPI","서비스업","7410","70","0.95","249865200000"
"001230","동국제강","KOSPI","철강금속","16000","500","3.23","1526923792000"
"023450","동남합성","KOSPI","화학","61300","100","0.16","221293000000"
"004140","동방","KOSPI","운수창고업","3460","35","1.02","165982310360"
"007590","동방아그로","KOSPI","화학","6970","60","0.87","94914511690"
"005960","동부건설","KOSPI","건설업","13650","300","2.25","312216122400"
"005965","동부건설우","KOSPI","건설업","32700","250","0.77","7381436400"
"026960","동서","KOSPI","유통업","26750","50","0.19","2666975000000"
